DELIVERY_START,spot_id_delta
2023-04-02 00:00:00+02:00,64.79302
2023-04-02 01:00:00+02:00,56.243534
2023-04-02 02:00:00+02:00,52.511456
2023-04-02 03:00:00+02:00,39.357964
2023-04-02 04:00:00+02:00,32.020126
2023-04-02 05:00:00+02:00,31.334146
2023-04-02 06:00:00+02:00,32.25088
2023-04-02 07:00:00+02:00,35.7513
2023-04-02 08:00:00+02:00,43.379013
2023-04-02 09:00:00+02:00,56.693333
2023-04-02 10:00:00+02:00,61.772507
2023-04-02 11:00:00+02:00,67.04579
2023-04-02 12:00:00+02:00,57.15087
2023-04-02 13:00:00+02:00,36.65202
2023-04-02 14:00:00+02:00,32.28087
2023-04-02 15:00:00+02:00,32.74296
2023-04-02 16:00:00+02:00,43.027576
2023-04-02 17:00:00+02:00,43.05481
2023-04-02 18:00:00+02:00,56.800686
2023-04-02 19:00:00+02:00,67.13853
2023-04-02 20:00:00+02:00,71.9672
2023-04-02 21:00:00+02:00,69.555664
2023-04-02 22:00:00+02:00,70.556816
2023-04-02 23:00:00+02:00,71.45724
2023-04-03 00:00:00+02:00,44.148087
2023-04-03 01:00:00+02:00,39.23633
2023-04-03 02:00:00+02:00,39.57826
2023-04-03 03:00:00+02:00,32.478664
2023-04-03 04:00:00+02:00,30.244904
2023-04-03 05:00:00+02:00,39.784527
2023-04-03 06:00:00+02:00,47.37534
2023-04-03 07:00:00+02:00,32.206806
2023-04-03 08:00:00+02:00,34.407017
2023-04-03 09:00:00+02:00,61.78434
2023-04-03 10:00:00+02:00,79.63846
2023-04-03 11:00:00+02:00,69.11613
2023-04-03 12:00:00+02:00,63.56933
2023-04-03 13:00:00+02:00,54.051662
2023-04-03 14:00:00+02:00,48.076588
2023-04-03 15:00:00+02:00,61.90705
2023-04-03 16:00:00+02:00,60.53091
2023-04-03 17:00:00+02:00,65.87978
2023-04-03 18:00:00+02:00,67.24999
2023-04-03 19:00:00+02:00,45.185966
2023-04-03 20:00:00+02:00,44.21537
2023-04-03 21:00:00+02:00,52.15089
2023-04-03 22:00:00+02:00,50.01592
2023-04-03 23:00:00+02:00,48.73684
2023-04-04 00:00:00+02:00,76.326904
2023-04-04 01:00:00+02:00,65.65043
2023-04-04 02:00:00+02:00,66.08037
2023-04-04 03:00:00+02:00,63.533836
2023-04-04 04:00:00+02:00,63.427006
2023-04-04 05:00:00+02:00,64.16512
2023-04-04 06:00:00+02:00,43.462723
2023-04-04 07:00:00+02:00,86.48143
2023-04-04 08:00:00+02:00,123.80925
2023-04-04 09:00:00+02:00,137.82278
2023-04-04 10:00:00+02:00,104.85276
2023-04-04 11:00:00+02:00,70.168236
2023-04-04 12:00:00+02:00,53.016415
2023-04-04 13:00:00+02:00,39.856285
2023-04-04 14:00:00+02:00,30.539734
2023-04-04 15:00:00+02:00,28.700418
2023-04-04 16:00:00+02:00,36.618896
2023-04-04 17:00:00+02:00,59.672623
2023-04-04 18:00:00+02:00,62.19115
2023-04-04 19:00:00+02:00,32.80768
2023-04-04 20:00:00+02:00,33.004402
2023-04-04 21:00:00+02:00,32.792305
2023-04-04 22:00:00+02:00,31.858913
2023-04-04 23:00:00+02:00,29.195818
2023-04-05 00:00:00+02:00,28.892342
2023-04-05 01:00:00+02:00,30.828566
2023-04-05 02:00:00+02:00,26.968796
2023-04-05 03:00:00+02:00,35.232803
2023-04-05 04:00:00+02:00,37.231483
2023-04-05 05:00:00+02:00,24.09644
2023-04-05 06:00:00+02:00,39.598324
2023-04-05 07:00:00+02:00,92.30434
2023-04-05 08:00:00+02:00,123.76706
2023-04-05 09:00:00+02:00,143.44185
2023-04-05 10:00:00+02:00,88.39658
2023-04-05 11:00:00+02:00,57.687103
2023-04-05 12:00:00+02:00,49.59505
2023-04-05 13:00:00+02:00,38.948654
2023-04-05 14:00:00+02:00,31.72078
2023-04-05 15:00:00+02:00,31.019703
2023-04-05 16:00:00+02:00,40.11462
2023-04-05 17:00:00+02:00,42.671955
2023-04-05 18:00:00+02:00,45.552513
2023-04-05 19:00:00+02:00,26.041265
2023-04-05 20:00:00+02:00,13.804444
2023-04-05 21:00:00+02:00,23.12567
2023-04-05 22:00:00+02:00,22.181122
2023-04-05 23:00:00+02:00,18.849197
2023-04-06 00:00:00+02:00,48.186054
2023-04-06 01:00:00+02:00,53.0542
2023-04-06 02:00:00+02:00,53.918842
2023-04-06 03:00:00+02:00,59.749527
2023-04-06 04:00:00+02:00,61.400513
2023-04-06 05:00:00+02:00,43.264954
2023-04-06 06:00:00+02:00,16.361824
2023-04-06 07:00:00+02:00,46.94538
2023-04-06 08:00:00+02:00,80.64243
2023-04-06 09:00:00+02:00,96.01433
2023-04-06 10:00:00+02:00,95.425766
2023-04-06 11:00:00+02:00,94.832405
2023-04-06 12:00:00+02:00,92.75409
2023-04-06 13:00:00+02:00,76.32053
2023-04-06 14:00:00+02:00,67.16
2023-04-06 15:00:00+02:00,58.316837
2023-04-06 16:00:00+02:00,56.27861
2023-04-06 17:00:00+02:00,65.87978
2023-04-06 18:00:00+02:00,70.58703
2023-04-06 19:00:00+02:00,39.47436
2023-04-06 20:00:00+02:00,38.60744
2023-04-06 21:00:00+02:00,45.133926
2023-04-06 22:00:00+02:00,44.479336
2023-04-06 23:00:00+02:00,41.607098
2023-04-07 00:00:00+02:00,49.619453
2023-04-07 01:00:00+02:00,52.71227
2023-04-07 02:00:00+02:00,51.803043
2023-04-07 03:00:00+02:00,51.049923
2023-04-07 04:00:00+02:00,48.86786
2023-04-07 05:00:00+02:00,48.883083
2023-04-07 06:00:00+02:00,28.02241
2023-04-07 07:00:00+02:00,33.949318
2023-04-07 08:00:00+02:00,63.598873
2023-04-07 09:00:00+02:00,78.91067
2023-04-07 10:00:00+02:00,75.139984
2023-04-07 11:00:00+02:00,68.44072
2023-04-07 12:00:00+02:00,54.40498
2023-04-07 13:00:00+02:00,52.20873
2023-04-07 14:00:00+02:00,49.521637
2023-04-07 15:00:00+02:00,54.036743
2023-04-07 16:00:00+02:00,47.2558
2023-04-07 17:00:00+02:00,41.49155
2023-04-07 18:00:00+02:00,46.751595
2023-04-07 19:00:00+02:00,32.931282
2023-04-07 20:00:00+02:00,29.979836
2023-04-07 21:00:00+02:00,33.30017
2023-04-07 22:00:00+02:00,34.478104
2023-04-07 23:00:00+02:00,33.75205
2023-04-08 00:00:00+02:00,67.36894
2023-04-08 01:00:00+02:00,68.09543
2023-04-08 02:00:00+02:00,66.82698
2023-04-08 03:00:00+02:00,60.51236
2023-04-08 04:00:00+02:00,53.465374
2023-04-08 05:00:00+02:00,56.333935
2023-04-08 06:00:00+02:00,65.24955
2023-04-08 07:00:00+02:00,69.59912
2023-04-08 08:00:00+02:00,66.98659
2023-04-08 09:00:00+02:00,55.051453
2023-04-08 10:00:00+02:00,38.725464
2023-04-08 11:00:00+02:00,8.856379
2023-04-08 12:00:00+02:00,-5.2727695
2023-04-08 13:00:00+02:00,8.6167965
2023-04-08 14:00:00+02:00,-28.680225
2023-04-08 15:00:00+02:00,-56.638454
2023-04-08 16:00:00+02:00,-8.270653
2023-04-08 17:00:00+02:00,19.352097
2023-04-08 18:00:00+02:00,52.423676
2023-04-08 19:00:00+02:00,45.928326
2023-04-08 20:00:00+02:00,61.914875
2023-04-08 21:00:00+02:00,64.332794
2023-04-08 22:00:00+02:00,67.19694
2023-04-08 23:00:00+02:00,71.042755
2023-04-09 00:00:00+02:00,66.216934
2023-04-09 01:00:00+02:00,60.5195
2023-04-09 02:00:00+02:00,61.341084
2023-04-09 03:00:00+02:00,51.537003
2023-04-09 04:00:00+02:00,42.953815
2023-04-09 05:00:00+02:00,42.09341
2023-04-09 06:00:00+02:00,43.462017
2023-04-09 07:00:00+02:00,46.266674
2023-04-09 08:00:00+02:00,42.740376
2023-04-09 09:00:00+02:00,35.25214
2023-04-09 10:00:00+02:00,63.03932
2023-04-09 11:00:00+02:00,-23.266605
